"Gene","Group"
"NRTN","HALLMARK_APICAL_JUNCTION"
"NRXN2","HALLMARK_APICAL_JUNCTION"
"PARD6G","HALLMARK_APICAL_JUNCTION"
"PARVA","HALLMARK_APICAL_JUNCTION"
"PBX2","HALLMARK_APICAL_JUNCTION"
"PCDH1","HALLMARK_APICAL_JUNCTION"
"PDZD3","HALLMARK_APICAL_JUNCTION"
"PECAM1","HALLMARK_APICAL_JUNCTION"
"PFN1","HALLMARK_APICAL_JUNCTION"
"PIK3CB","HALLMARK_APICAL_JUNCTION"
"PIK3R3","HALLMARK_APICAL_JUNCTION"
"PKD1","HALLMARK_APICAL_JUNCTION"
"PLCG1","HALLMARK_APICAL_JUNCTION"
"PPP2R2C","HALLMARK_APICAL_JUNCTION"
"PTEN","HALLMARK_APICAL_JUNCTION"
"PTK2","HALLMARK_APICAL_JUNCTION"
"PTPRC","HALLMARK_APICAL_JUNCTION"
"PVRL1","HALLMARK_APICAL_JUNCTION"
"PVRL2","HALLMARK_APICAL_JUNCTION"
"PVRL3","HALLMARK_APICAL_JUNCTION"
"PVRL4","HALLMARK_APICAL_JUNCTION"
"RAC2","HALLMARK_APICAL_JUNCTION"
"RASA1","HALLMARK_APICAL_JUNCTION"
"RHOF","HALLMARK_APICAL_JUNCTION"
"RRAS","HALLMARK_APICAL_JUNCTION"
"RSU1","HALLMARK_APICAL_JUNCTION"
"SDC3","HALLMARK_APICAL_JUNCTION"
"SGCE","HALLMARK_APICAL_JUNCTION"
"SHC1","HALLMARK_APICAL_JUNCTION"
"SHROOM2","HALLMARK_APICAL_JUNCTION"
"SIRPA","HALLMARK_APICAL_JUNCTION"
"SKAP2","HALLMARK_APICAL_JUNCTION"
"SLC30A3","HALLMARK_APICAL_JUNCTION"
"SLIT2","HALLMARK_APICAL_JUNCTION"
"SORBS3","HALLMARK_APICAL_JUNCTION"
"SPEG","HALLMARK_APICAL_JUNCTION"
"SRC","HALLMARK_APICAL_JUNCTION"
"STX4","HALLMARK_APICAL_JUNCTION"
"SYK","HALLMARK_APICAL_JUNCTION"
"SYMPK","HALLMARK_APICAL_JUNCTION"
"TAOK2","HALLMARK_APICAL_JUNCTION"
"TGFBI","HALLMARK_APICAL_JUNCTION"
"THBS3","HALLMARK_APICAL_JUNCTION"
"THY1","HALLMARK_APICAL_JUNCTION"
"TIAL1","HALLMARK_APICAL_JUNCTION"
"TJP1","HALLMARK_APICAL_JUNCTION"
"TMEM8B","HALLMARK_APICAL_JUNCTION"
"TNFRSF11B","HALLMARK_APICAL_JUNCTION"
"TRAF1","HALLMARK_APICAL_JUNCTION"
"TRO","HALLMARK_APICAL_JUNCTION"
"TSC1","HALLMARK_APICAL_JUNCTION"
"TSPAN4","HALLMARK_APICAL_JUNCTION"
"TUBG1","HALLMARK_APICAL_JUNCTION"
"VASP","HALLMARK_APICAL_JUNCTION"
"VAV2","HALLMARK_APICAL_JUNCTION"
"VCAM1","HALLMARK_APICAL_JUNCTION"
